Film,Year,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Average audience ,Audience vs Critics deviance ,Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),IMDb Rating,IMDB vs RT disparity,one-hot encoding Script Type,one-hot encoding Genre,one-hot encoding Oscar Winners,vote_average
mike and dave need wedding dates,2016,36,51,43.5,56,61,58.5,-15,46009673,46,31,31058573,77068246,77,33,0,0,6,4,0,5.9
miracles from heaven,2016,44,44,44.0,82,59,70.5,-27,61705123,62,12,12178236,73883359,74,13,0,0,3,6,0,6.8
tyler perry’s boo! a madea halloween,2016,22,30,26.0,59,50,54.5,-29,70537890,71,1,1338205,71876095,72,20,0,0,6,4,0,5.0
13 hours: the secret soldiers of benghazi,2016,50,48,49.0,83,68,75.5,-27,52853219,53,17,16558151,69411370,69,50,0,0,3,6,0,7.0
la la land,2016,92,93,92.5,89,89,89.0,4,38922894,39,28,27800000,66722894,67,30,0,0,6,9,0,7.9
the boy,2016,27,42,34.5,39,67,53.0,-19,35819556,36,28,28368811,64188367,64,10,0,0,6,8,0,5.7
"hail, caesar!",2016,85,72,78.5,45,59,52.0,27,30080225,30,33,33149571,63229796,63,22,0,0,6,4,0,5.7
the danish girl,2016,69,66,67.5,73,68,70.5,-3,5063669,5,53,53077505,58141174,58,15,0,0,0,6,1,7.4
zoolander 2,2016,23,34,28.5,22,43,32.5,-4,28848693,29,27,27120307,55969000,56,50,0,0,11,4,0,4.7
barbershop: the next cut,2016,90,67,78.5,68,60,64.0,15,54030051,54,1,1000000,55030051,55,20,0,0,11,4,0,6.2
why him?,2016,40,38,39.0,63,50,56.5,-18,39508337,40,15,14528677,54037014,54,38,0,0,6,4,0,6.3
collateral beauty,2016,12,24,18.0,69,50,59.5,-42,27734185,28,20,20000000,47734185,48,36,0,0,6,6,0,6.9
risen,2016,52,51,51.5,71,72,71.5,-20,36880033,37,9,9189535,46069568,46,20,0,0,6,6,0,5.7
blair witch,2016,36,47,41.5,34,50,42.0,-1,20777061,21,24,24352790,45129851,45,5,0,0,11,8,0,4.9
florence foster jenkins,2016,87,71,79.0,74,72,73.0,6,27383770,27,17,16939503,44323273,44,29,0,0,3,6,0,6.7
nine lives,2016,11,11,11.0,43,25,34.0,-23,19700032,20,25,24524212,44224244,44,30,0,0,6,4,0,6.2
mother’s day,2016,7,18,12.5,45,22,33.5,-21,32492859,32,11,11300000,43792859,44,25,0,0,6,36,0,5.0
the witch,2016,91,83,87.0,56,71,63.5,24,25138705,25,15,15285240,40423945,40,3,0,0,6,8,0,6.3
the wild life,2016,15,36,25.5,29,33,31.0,-6,8005586,8,32,31537995,39543581,40,13,0,0,6,1,0,6.4
criminal,2016,30,37,33.5,49,77,63.0,-30,14708696,15,24,24095297,38803993,39,32,0,0,6,0,0,6.5
the forest,2016,76,34,55.0,42,71,56.5,-2,26594261,27,11,11014038,37608299,38,10,0,0,6,42,0,6.3
absolutely fabulous: the movie,2016,60,59,59.5,48,44,46.0,14,4761241,5,33,32508768,37270009,37,37,0,0,0,4,0,5.3
eye in the sky,2016,95,73,84.0,83,70,76.5,8,18704596,19,14,14270445,32975041,33,13,0,0,6,42,0,6.3
snowden,2016,63,58,60.5,73,71,72.0,-12,21567387,22,10,9759150,31326537,31,40,0,0,0,6,0,7.0
hell or high water,2016,98,88,93.0,89,84,86.5,7,26981227,27,4,4109640,31090867,31,12,0,0,6,42,0,7.2
manchester by the sea,2016,97,96,96.5,81,79,80.0,17,30308167,30,1,672483,30980650,31,8,0,0,6,6,0,7.5
when the bough breaks,2016,6,28,17.0,49,23,36.0,-19,29740655,30,1,845497,30586152,31,10,0,0,6,42,0,6.5
"hello, my name is doris",2016,82,63,72.5,77,73,75.0,-3,28751693,29,0,211196,28962889,29,1,0,0,6,6,0,6.5
keeping up with the joneses,2016,19,34,26.5,46,51,48.5,-22,14319483,14,14,13912424,28231907,28,40,0,0,6,4,0,5.9
norm of the north,2016,8,21,14.5,22,9,15.5,-1,17062499,17,10,10363612,27426111,27,18,0,0,6,1,0,4.1
the brothers grimsby,2016,37,44,40.5,42,63,52.5,-12,6864016,7,18,18308092,25172108,25,35,0,0,6,4,0,5.0
race,2016,61,56,58.5,78,65,71.5,-13,19115191,19,6,5864054,24979245,25,5,0,0,3,6,0,5.8
nocturnal animals,2016,71,67,69.0,76,81,78.5,-10,10286142,10,13,13398972,23685114,24,22,0,0,0,23,0,7.2
masterminds,2016,31,47,39.0,42,46,44.0,-5,17356894,17,6,6169416,23526310,24,25,0,0,3,4,0,4.1
the choice,2016,12,26,19.0,62,43,52.5,-34,18730891,19,5,4689987,23420878,23,10,0,0,0,6,0,6.7
bad santa 2,2016,23,38,30.5,40,53,46.5,-16,17743394,18,5,5443315,23186709,23,26,0,0,6,4,0,5.0
free state of jones,2016,47,53,50.0,66,64,65.0,-15,20810036,21,2,2344199,23154235,23,50,0,0,6,6,0,6.6
triple 9,2016,54,52,53.0,43,63,53.0,0,12639297,13,10,10480145,23119442,23,20,0,0,6,42,0,5.6
hunt for the wilderpeople,2016,98,81,89.5,91,77,84.0,6,5205471,5,17,17460077,22665548,23,2,0,0,0,4,0,7.8
café society,2016,70,64,67.0,60,69,64.5,3,11103205,11,1,31909548,12048652,12,30,0,0,6,6,0,5.0
god’s not dead 2,2016,9,22,15.5,63,18,40.5,-25,20773069,21,1,945447,21718516,22,5,0,0,11,6,0,5.0
fifty shades of black,2016,7,28,17.5,19,18,18.5,-1,11686940,12,9,9477859,21164799,21,5,0,0,6,4,0,4.3
middle school: the worst years of my life,2016,55,51,53.0,65,63,64.0,-11,19576626,20,1,655877,20232503,20,8,0,0,0,4,0,6.9
love & friendship,2016,98,87,92.5,62,69,65.5,27,14016568,14,6,5633566,19650134,20,3,0,0,0,6,0,6.4
the infiltrator,2016,69,66,67.5,73,76,74.5,-7,15436808,15,3,2792670,18229478,18,47,0,0,3,42,0,6.6
pride & prejudice & zombies,2016,42,45,43.5,46,57,51.5,-8,10907291,11,5,5467037,16374328,16,28,0,0,0,4,0,5.0
almost christmas,2016,50,55,52.5,72,57,64.5,-12,15970925,16,0,290351,16261276,16,17,0,0,6,6,0,5.4
the lobster,2016,90,82,86.0,65,67,66.0,20,9196278,9,6,6459915,15656193,16,4,0,0,6,36,0,6.7
hardcore henry,2016,49,51,50.0,55,80,67.5,-18,9252038,9,5,5081752,14333790,14,2,0,0,6,0,0,6.2
ratchet & clank,2016,18,29,23.5,45,65,55.0,-32,8813410,9,3,3000000,11813410,12,20,0,0,0,1,0,5.4
the darkness,2016,4,55,29.5,20,48,34.0,-5,10753574,11,0,76943,10830517,11,4,0,0,3,8,0,4.5
captain fantastic,2016,82,72,77.0,85,78,81.5,-5,5879835,6,4,4089338,9969173,10,9,0,0,6,6,0,7.9
the queen of katwe,2016,92,73,82.5,88,66,77.0,6,8610752,9,1,992493,9603245,10,15,0,0,3,6,0,5.0
popstar: never stop never stopping,2016,77,68,72.5,67,74,70.5,2,9496130,10,0,40990,9537120,10,20,0,0,6,4,0,6.6
live by night,2016,37,51,44.0,63,73,68.0,-24,5605644,6,3,3300000,8905644,9,65,0,0,0,5,0,6.2
the young messiah,2016,46,33,39.5,66,57,61.5,-22,6469813,6,1,843884,7313697,7,18,0,0,0,6,0,6.4
southside with you,2016,92,74,83.0,79,53,66.0,17,6304223,6,0,75066,6379289,6,2,0,0,6,6,0,5.7
incarnate,2016,14,30,22.0,21,39,30.0,-8,4799774,5,2,1542081,6341855,6,5,0,0,6,8,0,5.1
silence,2016,88,82,85.0,75,85,80.0,5,355070,0,5,4625000,4980070,5,50,0,0,0,6,0,7.1
rules don't apply,2016,55,59,57.0,42,62,52.0,5,3652206,4,0,0,3652206,4,25,0,0,6,20,0,5.9
miss sloane,2016,69,63,66.0,58,45,51.5,15,3500605,4,0,0,3500605,4,13,0,0,6,23,0,7.2
patriots day,2016,79,70,74.5,85,65,75.0,-1,713831,1,2,1500000,2213831,2,45,0,0,0,6,0,6.8
47 meters down,2017,54,52,53.0,37,46,42.0,12,44307192,44,0,0,44307192,44,6,0,0,6,29,0,5.1
a bad moms christmas,2017,28,42,35.0,50,48,49.0,-14,69585639,70,46,45700000,115285639,115,28,0,0,11,20,0,5.0
a cure for wellness,2017,41,47,44.0,41,70,56.0,-12,8106986,8,18,18452571,26559557,27,40,0,0,6,29,0,6.0
a dog's purpose,2017,33,43,38.0,73,59,66.0,-28,64321890,64,132,131878234,196200124,196,22,0,0,0,20,0,6.6
a united kingdom,2017,84,65,75.0,78,65,72.0,3,3902185,4,10,9916954,13819139,14,14,0,0,3,23,0,6.5
alien: covenant,2017,68,65,67.0,56,60,58.0,9,74262031,74,166,166483733,240745764,241,97,0,0,11,38,0,5.7
all eyez on me,2017,18,38,28.0,54,42,48.0,-20,44922302,45,0,0,44922302,45,40,0,0,3,23,0,6.3
all saints,2017,93,63,78.0,78,56,67.0,11,5802208,6,0,140357,5942565,6,2,0,0,6,23,0,5.0
american assassin,2017,34,45,40.0,64,60,62.0,-23,36249674,36,30,29918277,66167951,66,33,0,0,0,14,0,5.0
american made,2017,87,65,76.0,79,68,74.0,3,51338325,51,84,83524593,134862918,135,50,0,0,6,21,0,5.0
annabelle: creation,2017,69,62,66.0,68,68,68.0,-3,102092201,102,204,203700000,305792201,306,15,0,0,8,29,0,5.0
atomic blonde,2017,76,63,70.0,65,66,66.0,4,51573925,52,44,44100000,95673925,96,30,0,0,0,42,0,6.1
baahubali 2: the conclusion,2017,100,0,0.0,87,85,86.0,0,20186659,20,121,121319777,141506436,142,39,0,0,11,14,0,6.7
baby driver,2017,93,86,90.0,86,79,83.0,7,107825862,108,119,119119225,226945087,227,34,0,0,6,14,0,7.2
battle of the sexes,2017,86,73,80.0,76,59,68.0,12,12626314,13,0,0,12626314,13,25,0,0,3,41,0,5.0
baywatch,2017,18,37,28.0,56,45,51.0,-23,58060186,58,120,119796565,177856751,178,69,0,0,0,14,0,6.1
beatriz at dinner,2017,75,68,72.0,56,52,54.0,18,7115854,7,0,0,7115854,7,0,0,0,6,20,0,6.3
beauty and the beast,2017,71,65,68.0,81,68,75.0,-7,504014165,504,760,759506961,1263521126,1264,160,0,0,0,26,0,7.5
before i fall,2017,63,58,61.0,57,62,60.0,1,12241122,12,0,0,12241122,12,5,0,0,0,23,0,6.8
blade runner 2049,2017,87,81,84.0,81,84,83.0,2,91366477,91,166,166400313,257766790,258,150,0,0,11,38,1,5.0
captain underpants: the first epic movie,2017,86,69,78.0,61,67,64.0,14,73921000,74,51,51368450,125289450,125,38,0,0,0,17,0,6.5
cars 3,2017,68,59,64.0,71,70,71.0,-7,152901115,153,231,230814641,383715756,384,175,0,0,11,17,0,6.6
chips,2017,17,28,23.0,45,42,44.0,-21,18600152,19,8,8200000,26800152,27,25,0,0,0,14,0,6.2
close encounters of the third kind (40th anniversary),2017,100,90,95.0,92,78,85.0,10,3100479,3,0,0,3100479,3,20,0,0,6,38,0,5.0
coco,2017,97,81,89.0,96,83,90.0,-1,139715473,140,263,263000000,402715473,403,188,0,0,6,17,1,4.4
colossal,2017,80,70,75.0,59,61,60.0,15,3029287,3,0,0,3029287,3,15,0,0,6,38,0,6.2
daddy's home 2,2017,18,30,24.0,59,60,60.0,-36,92470376,92,53,53469916,145940292,146,69,0,0,11,20,0,5.0
despicable me 3,2017,60,49,55.0,55,57,56.0,-2,264556235,265,769,768883847,1033440082,1033,80,0,0,11,17,0,6.2
detroit,2017,83,78,81.0,80,62,71.0,10,16790139,17,0,0,16790139,17,34,0,0,1,21,0,7.3
dunkirk,2017,92,94,93.0,82,84,83.0,10,188045546,188,337,337000000,525045546,525,100,0,0,6,14,1,6.6
"everything, everything",2017,46,52,49.0,62,48,55.0,-6,34121140,34,28,27500000,61621140,62,10,0,0,0,23,0,7.3
fist fight,2017,26,37,32.0,41,50,46.0,-14,32187017,32,9,8900000,41087017,41,25,0,0,6,20,0,6.2
flatliners,2017,5,27,16.0,38,28,33.0,-17,16883115,17,27,26675700,43558815,44,19,0,0,9,38,0,6.3
geostorm,2017,13,21,17.0,41,37,39.0,-22,33287280,33,174,174400000,207687280,208,120,0,0,6,14,0,5.0
get out,2017,99,84,92.0,87,75,81.0,11,175484140,175,79,78845376,254329516,254,4,0,0,6,29,1,7.2
ghost in the shell,2017,45,52,49.0,52,69,61.0,-12,40563557,41,129,129238364,169801921,170,110,0,0,0,38,0,7.8
gifted,2017,73,60,67.0,85,76,81.0,-14,24801212,25,18,17634981,42436193,42,7,0,0,6,23,0,7.7
girls trip,2017,89,71,80.0,80,56,68.0,12,115108515,115,24,23500000,138608515,139,19,0,0,6,20,0,7.1
going in style,2017,48,50,49.0,58,58,58.0,-9,45018541,45,40,39900000,84918541,85,25,0,0,9,20,0,6.9
gold,2017,43,49,46.0,45,64,55.0,-9,7227038,7,0,0,7227038,7,20,0,0,3,15,0,5.5
guardians of the galaxy vol. 2,2017,83,67,75.0,88,78,83.0,-8,389813101,390,474,473752426,863565527,864,200,0,0,12,14,0,7.6
happy death day,2017,71,57,64.0,66,66,66.0,-2,55681005,56,57,56700000,112381005,112,5,0,0,6,29,0,5.0
home again,2017,31,41,36.0,50,58,54.0,-18,27020284,27,0,0,27020284,27,12,0,0,6,36,0,5.0
how to be a latin lover,2017,38,54,46.0,62,54,58.0,-12,32149404,32,30,29731968,61881372,62,10,0,0,6,20,0,6.1
ingrid goes west,2017,85,71,78.0,73,73,73.0,5,3024308,3,0,0,3024308,3,3,0,0,6,20,0,7.6
it,2017,85,70,78.0,85,80,83.0,-5,327475366,327,368,368200000,695675366,696,35,0,0,0,29,0,6.5
jigsaw,2017,34,39,37.0,92,60,76.0,-40,37899565,38,63,63120449,101020014,101,10,0,0,11,29,0,4.0
john wick: chapter two,2017,89,75,82.0,85,81,83.0,-1,92029184,92,80,79510703,171539887,172,40,0,0,11,14,0,5.0
just getting started,2017,5,21,13.0,17,41,29.0,-16,4278904,4,0,0,4278904,4,22,0,0,6,14,0,5.0
justice league,2017,40,45,43.0,80,69,75.0,-32,214723646,215,403,402600000,617323646,617,300,0,0,0,14,0,0.0
king arthur: legend of the sword,2017,29,41,35.0,69,72,71.0,-36,39175066,39,110,109500000,148675066,149,175,0,0,6,15,0,6.5
kingsman: the golden circle,2017,51,44,48.0,68,66,67.0,-20,100148463,100,295,295224607,395373070,395,104,0,0,12,14,0,5.0
lady bird,2017,99,94,97.0,84,81,83.0,14,23531261,24,0,0,23531261,24,10,0,0,6,20,0,5.0
leap!,2017,37,48,43.0,63,64,64.0,-21,21858070,22,84,84197417,106055487,106,30,0,0,6,17,0,5.0
let there be light,2017,60,0,0.0,78,55,67.0,0,7184198,7,0,0,7184198,7,3,0,0,6,23,0,7.0
life,2017,67,54,61.0,55,63,59.0,2,30234022,30,70,70307784,100541806,101,58,0,0,6,38,0,6.4
logan,2017,93,77,85.0,90,87,89.0,-4,226277068,226,391,390518532,616795600,617,97,0,0,0,14,0,5.3
logan lucky,2017,93,78,86.0,76,68,72.0,14,27780977,28,19,19450002,47230979,47,29,0,0,6,14,0,5.0
loving vincent,2017,82,62,72.0,89,84,87.0,-15,5784242,6,0,0,5784242,6,6,0,0,3,17,0,5.0
lowriders,2017,55,57,56.0,63,0,0.0,0,6179955,6,0,0,6179955,6,1,0,0,6,23,0,7.0
marshall,2017,83,66,75.0,88,60,74.0,1,9403543,9,0,0,9403543,9,12,0,0,3,23,0,5.0
maudie,2017,88,65,77.0,90,75,83.0,-6,6170998,6,0,0,6170998,6,6,0,0,3,23,0,7.6
megan leavey,2017,84,66,75.0,83,65,74.0,1,13406883,13,0,0,13406883,13,0,0,0,3,23,0,7.1
monster trucks,2017,31,41,36.0,51,54,53.0,-17,33370166,33,31,31123749,64493915,64,125,0,0,6,14,0,6.0
mother!,2017,68,74,71.0,50,69,60.0,12,17800004,18,27,26716995,44516999,45,30,0,0,6,23,0,5.0
murder on the orient express,2017,58,52,55.0,58,63,61.0,-6,94440669,94,186,185564854,280005523,280,55,0,0,0,42,0,6.9
my little pony: the movie,2017,47,39,43.0,80,75,78.0,-35,21885107,22,30,30098978,51984085,52,6,0,0,0,17,0,5.0
norman: the moderate rise and tragic fall of a new york fixer,2017,88,75,82.0,56,63,60.0,22,3814868,4,0,0,3814868,4,5,0,0,6,23,0,5.6
paris can wait,2017,45,48,47.0,40,50,45.0,2,5617731,6,0,0,5617731,6,5,0,0,6,36,0,6.4
phoenix forgotten,2017,44,33,39.0,42,32,37.0,2,3600146,4,0,0,3600146,4,3,0,0,6,38,0,5.7
pirates of the caribbean: dead men tell no tales,2017,30,39,35.0,62,63,63.0,-28,172558876,173,622,622302918,794861794,795,230,0,0,11,35,0,6.6
power rangers,2017,44,44,44.0,66,69,68.0,-24,85364450,85,57,56972790,142337240,142,100,0,0,0,14,0,7.2
resident evil: the final chapter,2017,36,49,43.0,49,50,50.0,-7,26830068,27,285,285412558,312242626,312,40,0,0,12,38,0,5.9
rings,2017,7,25,16.0,24,39,32.0,-16,27793018,28,55,55287872,83080890,83,25,0,0,11,29,0,5.4
"roman j. israel, esq.",2017,50,58,54.0,66,63,65.0,-11,11532128,12,0,0,11532128,12,22,0,0,6,14,0,5.0
same kind of different as me,2017,29,49,39.0,92,70,81.0,-42,6354910,6,0,0,6354910,6,6,0,0,0,23,0,5.0
sleepless,2017,23,34,29.0,38,43,41.0,-12,20783704,21,12,11976622,32760326,33,30,0,0,9,21,0,6.0
smurfs: the lost village,2017,37,40,39.0,55,55,55.0,-17,45020282,45,152,152163264,197183546,197,60,0,0,0,17,0,6.2
snatched,2017,37,45,41.0,30,28,29.0,12,45852178,46,15,14993533,60845711,61,42,0,0,6,20,0,0.0
spider-man: homecoming,2017,92,73,83.0,88,80,84.0,-2,334201140,334,546,545965784,880166924,880,175,0,0,12,14,0,5.0
split,2017,74,62,68.0,79,69,74.0,-6,138141585,138,140,140162993,278304578,278,9,0,0,6,29,0,7.0
stronger,2017,94,76,85.0,86,76,81.0,4,4211129,4,2,1778798,5989927,6,30,0,0,1,23,0,5.0
suburbicon,2017,28,42,35.0,24,36,30.0,5,5775178,6,0,0,5775178,6,25,0,0,6,21,0,5.0
table 19,2017,25,40,33.0,40,61,51.0,-18,3614896,4,1,1427118,5042014,5,5,0,0,6,20,0,6.2
thank you for your service,2017,76,76,76.0,78,78,78.0,-2,9479390,9,0,0,9479390,9,20,0,0,1,23,0,0.0
the beguiled,2017,78,77,78.0,48,63,56.0,22,10576669,11,17,16687660,27264329,27,10,0,0,0,23,0,7.0
the belko experiment,2017,52,44,48.0,40,51,46.0,3,10166820,10,0,0,10166820,10,5,0,0,6,29,0,6.1
the big sick,2017,98,86,92.0,89,75,82.0,10,42873127,43,12,12390522,55263649,55,5,0,0,3,36,0,7.7
the book of henry,2017,21,31,26.0,63,45,54.0,-28,4288104,4,0,0,4288104,4,10,0,0,6,23,0,7.6
the boss baby,2017,51,50,51.0,52,54,53.0,-3,175003033,175,324,323925250,498928283,499,125,0,0,0,17,0,6.1
the case for christ,2017,55,50,53.0,80,70,75.0,-23,14682684,15,3,2961812,17644496,18,3,0,0,1,23,0,3.0
the circle,2017,16,43,30.0,22,50,36.0,-7,20497844,20,0,0,20497844,20,18,0,0,0,23,0,6.6
the dark tower,2017,16,34,25.0,48,43,46.0,-21,50701325,51,61,61056670,111757995,112,60,0,0,0,26,0,7.0
the disaster artist,2017,93,76,85.0,91,78,85.0,0,9878763,10,2,1700000,11578763,12,10,0,0,1,20,0,5.0
the emoji movie,2017,9,12,11.0,40,18,29.0,-19,86089513,86,131,130881358,216970871,217,50,0,0,6,17,0,5.8
the fate of the furious,2017,67,56,62.0,73,70,72.0,-10,225764765,226,1010,1009996733,1235761498,1236,250,0,0,11,14,0,6.8
the foreigner,2017,61,55,58.0,75,70,73.0,-15,34329815,34,105,104900000,139229815,139,35,0,0,0,14,0,3.7
the founder,2017,83,66,75.0,82,73,78.0,-3,12786053,13,11,11335192,24121245,24,25,0,0,3,23,0,7.0
the glass castle,2017,49,56,53.0,74,63,69.0,-16,17273059,17,4,4497986,21771045,22,0,0,0,1,23,0,6.5
the great wall,2017,35,42,39.0,43,58,51.0,-12,45157105,45,289,289393001,334550106,335,150,0,0,6,14,0,5.8
the hero,2017,77,61,69.0,60,69,65.0,5,4077333,4,0,0,4077333,4,6,0,0,6,20,0,7.6
the hitman's bodyguard,2017,40,47,44.0,69,64,67.0,-23,75468583,75,101,101118118,176586701,177,30,0,0,6,14,0,5.0
the house,2017,17,30,24.0,36,40,38.0,-15,25584504,26,9,8600000,34184504,34,40,0,0,6,20,0,7.1
the lego batman movie,2017,91,75,83.0,80,76,78.0,5,175750384,176,136,136200000,311950384,312,80,0,0,11,17,0,7.2
the lego ninjago movie,2017,54,55,55.0,49,48,49.0,6,59281555,59,63,63300000,122581555,123,70,0,0,11,17,0,5.0
the lost city of z,2017,87,78,83.0,57,69,63.0,20,8580410,9,0,0,8580410,9,30,0,0,1,14,0,6.1
the mountain between us,2017,41,48,45.0,51,45,48.0,-4,30274513,30,30,29580467,59854980,60,35,0,0,0,23,0,5.0
the mummy,2017,16,34,25.0,36,48,42.0,-17,80101125,80,329,329003712,409104837,409,125,0,0,9,14,0,6.6
the nut job 2: nutty by nature,2017,9,36,23.0,44,39,42.0,-19,28370522,28,37,36823191,65193713,65,40,0,0,11,17,0,5.0
the promise,2017,49,49,49.0,92,71,82.0,-33,8224288,8,0,0,8224288,8,90,0,0,6,23,0,5.0
the shack,2017,20,32,26.0,78,52,65.0,-39,57386418,57,40,39555697,96942115,97,20,0,0,0,23,0,6.9
the snowman,2017,8,23,16.0,21,32,27.0,-11,6670765,7,36,36000000,42670765,43,35,0,0,0,42,0,7.5
the space between us,2017,16,33,25.0,55,44,50.0,-25,7885294,8,7,6908091,14793385,15,30,0,0,6,38,0,7.2
the star,2017,43,42,43.0,75,60,68.0,-25,33324147,33,9,9392726,42716873,43,20,0,0,6,17,0,7.2
the zookeeper's wife,2017,61,57,59.0,77,72,75.0,-16,17445186,17,6,5727421,23172607,23,20,0,0,0,23,0,7.1
thor: ragnarok,2017,92,73,83.0,88,80,84.0,-2,302950227,303,533,532567590,835517817,836,180,0,0,0,14,0,0.0
"three billboards outside ebbing, missouri",2017,93,87,90.0,87,77,82.0,8,19459498,19,0,0,19459498,19,12,0,0,6,21,1,5.0
transformers: the last knight,2017,15,28,22.0,45,41,43.0,-22,130168683,130,475,475256474,605425157,605,217,0,0,12,38,0,6.2
tyler perry's boo 2! a madea halloween,2017,6,17,12.0,42,21,32.0,-20,47313711,47,1,1012798,48326509,48,25,0,0,11,20,0,5.0
valerian and the city of a thousand planets,2017,49,51,50.0,55,65,60.0,-10,40479370,40,185,184684740,225164110,225,177,0,0,0,38,0,6.7
war for the planet of the apes,2017,93,82,88.0,84,81,83.0,5,146880162,147,344,343784076,490664238,491,150,0,0,11,38,0,6.7
wind river,2017,87,73,80.0,91,77,84.0,-4,33800859,34,0,0,33800859,34,11,0,0,3,23,0,7.4
wish upon,2017,17,32,25.0,32,40,36.0,-12,14301505,14,0,0,14301505,14,12,0,0,6,29,0,5.3
wonder,2017,85,66,76.0,91,77,84.0,-9,103024892,103,29,29335820,132360712,132,20,0,0,0,23,0,5.0
wonder woman,2017,92,76,84.0,89,78,84.0,1,412563408,413,409,409200000,821763408,822,149,0,0,0,14,0,7.2
xxx: the return of xander cage,2017,45,42,44.0,38,48,43.0,1,44898413,45,301,301249245,346147658,346,85,0,0,11,14,0,5.0
your name.,2017,97,79,88.0,94,90,92.0,-4,5017246,5,350,350281024,355298270,355,0,0,0,0,17,0,8.5
there will be blood,2007,91,92,92.0,86,92,89.0,3,40222514,40,36,35959017,76181531,76,25,0,0,0,23,1,7.9
toy story 3,2010,99,92,96.0,91,91,91.0,5,415000000,415,648,648160000,0,1063,200,0,0,11,17,1,7.6
the king's speech,2010,95,88,92.0,93,83,88.0,4,138790000,139,275,275410000,0,414,15,0,0,3,18,1,7.6
rango,2011,88,75,82.0,69,74,72.0,10,123480000,123,122,122250000,245730000,246,135,0,0,6,17,1,6.6
spectre,2015,64,60,62.0,65,67,66.0,-4,196489955,196,654,653900000,850389955,850,245,0,0,11,14,1,6.3
inside out,2015,98,94,96.0,90,88,89.0,7,355597857,356,487,486900000,842497857,842,175,0,0,6,17,1,4.5
freeheld,2015,46,50,48.0,53,72,63.0,-15,573335,1,0,1186027,573335,1,7,0,0,3,23,1,8.5
room,2015,96,85,91.0,97,82,90.0,1,1406104,1,6,6300000,12667721,13,6,0,0,0,23,1,8.1
mad max: fury road,2015,97,89,93.0,87,87,87.0,6,153636354,154,221,221100000,374736354,375,150,0,0,11,11,1,7.3
ex machina,2015,92,78,85.0,85,80,83.0,3,25442958,25,11,11426456,36869414,37,15,0,0,6,38,1,7.6
bridge of spies,2015,92,81,87.0,98,80,89.0,-3,72232000,72,92,92100000,164332000,164,40,0,0,3,42,1,7.2
spotlight,2015,96,93,94.5,93,81,87.0,8,17946804,18,43,43290697,61237501,61,20,0,0,3,23,1,7.8
the revenant,2016,82,76,79.0,84,80,82.0,-3,183637894,184,349,349312609,532950503,533,135,0,0,6,1,1,6.4
the big short,2016,88,81,84.5,88,82,85.0,-1,37204389,37,63,63086636,100291025,100,28,0,0,3,6,1,7.3
the danish girl,2016,69,66,67.5,73,68,70.5,-3,5063669,5,53,53077505,58141174,58,15,0,0,0,6,1,7.4
blade runner 2049,2017,87,81,84.0,81,84,83.0,2,91366477,91,166,166400313,257766790,258,150,0,0,11,38,1,5.0
coco,2017,97,81,89.0,96,83,90.0,-1,139715473,140,263,263000000,402715473,403,188,0,0,6,17,1,4.4
dunkirk,2017,92,94,93.0,82,84,83.0,10,188045546,188,337,337000000,525045546,525,100,0,0,6,14,1,6.6
get out,2017,99,84,92.0,87,75,81.0,11,175484140,175,79,78845376,254329516,254,4,0,0,6,29,1,7.2
"three billboards outside ebbing, missouri",2017,93,87,90.0,87,77,82.0,8,19459498,19,0,0,19459498,19,12,0,0,6,21,1,5.0
there will be blood,2007,91,92,92.0,86,92,89.0,3,40222514,40,36,35959017,76181531,76,25,0,0,0,23,1,7.9
toy story 3,2010,99,92,96.0,91,91,91.0,5,415000000,415,648,648160000,0,1063,200,0,0,11,17,1,7.6
the king's speech,2010,95,88,92.0,93,83,88.0,4,138790000,139,275,275410000,0,414,15,0,0,3,18,1,7.6
rango,2011,88,75,82.0,69,74,72.0,10,123480000,123,122,122250000,245730000,246,135,0,0,6,17,1,6.6
spectre,2015,64,60,62.0,65,67,66.0,-4,196489955,196,654,653900000,850389955,850,245,0,0,11,14,1,6.3
inside out,2015,98,94,96.0,90,88,89.0,7,355597857,356,487,486900000,842497857,842,175,0,0,6,17,1,4.5
freeheld,2015,46,50,48.0,53,72,63.0,-15,573335,1,0,1186027,573335,1,7,0,0,3,23,1,8.5
room,2015,96,85,91.0,97,82,90.0,1,1406104,1,6,6300000,12667721,13,6,0,0,0,23,1,8.1
mad max: fury road,2015,97,89,93.0,87,87,87.0,6,153636354,154,221,221100000,374736354,375,150,0,0,11,11,1,7.3
ex machina,2015,92,78,85.0,85,80,83.0,3,25442958,25,11,11426456,36869414,37,15,0,0,6,38,1,7.6
bridge of spies,2015,92,81,87.0,98,80,89.0,-3,72232000,72,92,92100000,164332000,164,40,0,0,3,42,1,7.2
spotlight,2015,96,93,94.5,93,81,87.0,8,17946804,18,43,43290697,61237501,61,20,0,0,3,23,1,7.8
the revenant,2016,82,76,79.0,84,80,82.0,-3,183637894,184,349,349312609,532950503,533,135,0,0,6,1,1,6.4
